doid_code_0	doid_name_0	doid_code_1	doid_name_1	cooccurrence	expected	enrichment	odds_ratio	p_fisher
DOID:10652	Alzheimer's disease	DOID:5408	Paget's disease of bone	2	80.48238717718355	0.02485015753318749	0.024415872162485065	1.0
DOID:10652	Alzheimer's disease	DOID:1024	leprosy	7	341.82388306511007	0.020478381841641684	0.020043729608179284	1.0
DOID:10652	Alzheimer's disease	DOID:10941	intracranial aneurysm	9	375.0593211684743	0.02399620404569883	0.023477516923323002	1.0
DOID:10652	Alzheimer's disease	DOID:1686	glaucoma	50	726.6376293350255	0.06881008907528909	0.06706618560971613	1.0
DOID:10652	Alzheimer's disease	DOID:0050425	restless legs syndrome	9	45.98993552981917	0.19569499057385148	0.192944149794567	1.0
DOID:10652	Alzheimer's disease	DOID:13378	Kawasaki disease	0	79.99634194017015	0.0	0.0	1.0
DOID:10652	Alzheimer's disease	DOID:1936	atherosclerosis	116	412.0322795426656	0.2815313405268975	0.2769226597330383	1.0
DOID:10652	Alzheimer's disease	DOID:986	alopecia areata	0	42.051293091952004	0.0	0.0	1.0
DOID:10652	Alzheimer's disease	DOID:11476	osteoporosis	127	770.4822617497512	0.1648318284597303	0.16099057689515156	1.0
DOID:10652	Alzheimer's disease	DOID:1459	hypothyroidism	34	484.5200605800082	0.07017253312339505	0.06862368013427998	1.0
DOID:10652	Alzheimer's disease	DOID:2986	IgA glomerulonephritis	0	83.13049570987722	0.0	0.0	1.0
DOID:10652	Alzheimer's disease	DOID:0050741	alcohol dependence	121	1130.490940751397	0.10703314430770726	0.10387385138159383	1.0
DOID:10652	Alzheimer's disease	DOID:14227	azoospermia	0	20.212777787522565	0.0	0.0	1.0
DOID:10652	Alzheimer's disease	DOID:1826	epilepsy syndrome	356	2222.115022722309	0.1602077283847643	0.15362700696562148	1.0
DOID:10652	Alzheimer's disease	DOID:2043	hepatitis B	3	797.2985506884212	0.003762705949245328	0.0036570234130139326	1.0
DOID:10652	Alzheimer's disease	DOID:3083	chronic obstructive pulmonary disease	22	647.0267715483488	0.034001684269344114	0.03314592388168895	1.0
DOID:10652	Alzheimer's disease	DOID:7693	abdominal aortic aneurysm	1	241.530962434484	0.004140255932078493	0.00405686865256626	1.0
DOID:10652	Alzheimer's disease	DOID:784	chronic kidney failure	28	1334.7472615611293	0.020977754220863516	0.020240120446623103	1.0
DOID:10652	Alzheimer's disease	DOID:8398	osteoarthritis	22	764.7838003502837	0.028766299691394655	0.02799123987560769	1.0
DOID:10652	Alzheimer's disease	DOID:9008	psoriatic arthritis	0	66.60495765142178	0.0	0.0	1.0
DOID:10652	Alzheimer's disease	DOID:0050742	nicotine dependence	5	139.99778844044442	0.03571484989655403	0.03506812654229395	1.0
DOID:10652	Alzheimer's disease	DOID:10976	membranous glomerulonephritis	0	41.02892207616521	0.0	0.0	1.0
DOID:10652	Alzheimer's disease	DOID:11714	gestational diabetes	1	128.53382491916298	0.007780053232127156	0.007636428716211307	1.0
DOID:10652	Alzheimer's disease	DOID:12365	malaria	9	883.3285576397922	0.010188734330120075	0.009891928096680637	1.0
